iter	Passed	Remaining
686	1995	743
687	1997	740
688	2000	737
689	2003	734
690	2005	731
691	2008	728
692	2010	725
693	2013	722
694	2015	719
695	2018	716
696	2021	713
697	2024	710
698	2026	707
699	2029	704
700	2031	701
701	2034	698
702	2037	695
703	2039	692
704	2042	689
705	2044	686
706	2047	683
707	2049	680
708	2052	677
709	2054	674
710	2056	671
711	2059	668
712	2061	665
713	2064	662
714	2066	659
715	2069	656
716	2071	653
717	2074	650
718	2077	647
719	2080	644
720	2083	641
721	2085	638
722	2088	635
723	2090	632
724	2092	629
725	2095	626
726	2098	623
727	2100	620
728	2103	617
729	2105	614
730	2108	611
731	2111	608
732	2114	605
733	2117	602
734	2119	599
735	2122	596
736	2124	593
737	2127	590
738	2129	587
739	2132	584
740	2135	582
741	2138	579
742	2140	576
743	2143	573
744	2146	570
745	2149	567
746	2151	564
747	2154	561
748	2157	558
749	2159	555
750	2162	552
751	2165	549
752	2168	547
753	2171	544
754	2173	541
755	2176	538
756	2178	535
757	2181	532
758	2184	529
759	2187	526
760	2190	523
761	2192	520
762	2195	518
763	2198	515
764	2201	512
765	2204	509
766	2207	506
767	2209	503
768	2212	500
769	2215	497
770	2218	494
771	2220	491
772	2223	489
773	2225	486
774	2228	483
775	2231	480
776	2233	477
777	2237	474
778	2239	471
779	2243	468
780	2246	465
781	2248	463
782	2251	460
783	2254	457
784	2256	454
785	2259	451
786	2261	448
787	2264	445
788	2267	442
789	2269	439
790	2272	436
791	2275	433
792	2277	430
793	2281	428
794	2284	425
795	2287	422
796	2289	419
797	2292	416
798	2295	413
799	2298	410
800	2301	407
801	2303	405
802	2306	402
803	2309	399
804	2313	396
805	2315	393
806	2318	390
807	2321	387
808	2323	384
809	2326	382
810	2329	379
811	2332	376
812	2335	373
813	2337	370
814	2340	367
815	2343	364
816	2346	361
817	2348	358
818	2351	355
819	2353	353
820	2355	350
821	2358	347
822	2360	344
823	2363	341
824	2365	338
825	2368	335
826	2371	332
827	2373	329
828	2376	326
829	2379	323
830	2382	321
831	2385	318
832	2387	315
833	2391	312
834	2394	309
835	2396	306
836	2399	303
837	2401	300
838	2404	298
839	2407	295
840	2410	292
841	2413	289
842	2415	286
843	2418	283
844	2421	280
845	2423	277
846	2426	275
847	2429	272
848	2431	269
849	2433	266
850	2436	263
851	2438	260
852	2441	257
853	2444	254
854	2447	251
855	2450	249
856	2453	246
857	2455	243
858	2459	240
859	2462	237
860	2465	234
861	2468	231
862	2471	229
863	2474	226
864	2477	223
865	2480	220
866	2484	217
867	2486	214
868	2489	212
869	2492	209
870	2496	206
871	2499	203
872	2503	200
873	2508	198
874	2511	195
875	2514	192
876	2518	189
877	2523	186
878	2527	184
879	2530	181
880	2534	178
881	2541	175
882	2546	173
883	2602	173
884	2612	171
885	2618	168
886	2621	165
887	2624	162
888	2626	159
889	2629	156
890	2632	153
891	2635	150
892	2638	147
893	2641	144
894	2644	141
895	2647	138
896	2649	135
897	2652	132
898	2655	129
899	2658	127
900	2661	124
901	2664	121
902	2667	118
903	2670	115
904	2673	112
905	2676	109
906	2679	106
907	2682	103
908	2685	100
909	2688	97
910	2690	94
911	2693	91
912	2696	88
913	2699	85
914	2701	82
915	2704	79
916	2707	76
917	2709	73
918	2712	70
919	2714	67
920	2717	64
921	2720	61
922	2725	59
923	2728	56
924	2732	53
925	2737	50
926	2740	47
927	2744	44
928	2747	41
929	2750	38
930	2753	35
931	2757	32
932	2760	29
933	2763	26
934	2766	23
935	2769	20
936	2773	17
937	2777	14
938	2779	11
939	2782	8
940	2785	5
941	2788	2
942	2791	0
